#  JMA2001 + Density + Attenuation
#
#  The original JMA2001 velocity strucuture model (Ueno, et al., 2002)
#  used in hypocentral determination by Japan Meteorological Agency 
#  contains depth, P-wave velocity adn S-wave velocity.
#  Mass density and intrinsic attenuation factors are obtained from 
#  empirical relationships summarized in Brocher (2008; J Seismol.)
#  Note that the velocities of deep structure (>270 km for density and
#  >420 km for attenuation) exceeds the limiation of the empirical formula.
#  Please use it with caution for deep-focus earthquake. 
#
#   depth(km)   rho(g/cc)   vp(km/s)    vs(km/s)       Qp       Qs
# ------------------------------------------------------------------
      0.0000      2.5048      4.8000      2.8440    530.3343    265.1672
      0.5000      2.5271      4.9500      2.9310    558.8769    279.4384
      1.0000      2.5488      5.0900      3.0120    586.7299    293.3649
      1.5000      2.5698      5.2200      3.0880    614.0328    307.0164
      2.0000      2.5899      5.3400      3.1570    639.8385    319.9193
      2.5000      2.6091      5.4500      3.2210    664.6692    332.3346
      3.0000      2.6272      5.5500      3.2780    687.5308    343.7654
      3.5000      2.6440      5.6400      3.3290    708.5977    354.2989
      4.0000      2.6594      5.7200      3.3750    728.1063    364.0531
      4.5000      2.6712      5.7800      3.4090    742.8405    371.4203
      5.0000      2.6792      5.8200      3.4310    752.5192    376.2596
      5.5000      2.6832      5.8400      3.4410    756.9565    378.4782
      6.0000      2.6873      5.8600      3.4510    761.4176    380.7088
      6.5000      2.6914      5.8800      3.4610    765.9027    382.9514
      7.0000      2.6956      5.9000      3.4710    770.4119    385.2059
      7.5000      2.6997      5.9200      3.4810    774.9452    387.4726
      8.0000      2.7039      5.9400      3.4910    779.5027    389.7513
      8.5000      2.7081      5.9600      3.5010    784.0846    392.0423
      9.0000      2.7124      5.9800      3.5110    788.6909    394.3454
      9.5000      2.7167      6.0000      3.5210    793.3217    396.6608
     10.0000      2.7210      6.0200      3.5310    797.9772    398.9886
     10.5000      2.7253      6.0400      3.5410    802.6574    401.3287
     11.0000      2.7297      6.0600      3.5520    807.8343    403.9171
     11.5000      2.7340      6.0800      3.5620    812.5667    406.2834
     12.0000      2.7385      6.1000      3.5720    817.3243    408.6621
     12.5000      2.7429      6.1200      3.5830    822.5865    411.2933
     13.0000      2.7474      6.1400      3.5930    827.3970    413.6985
     13.5000      2.7519      6.1600      3.6030    832.2327    416.1164
     14.0000      2.7564      6.1800      3.6140    837.5814    418.7907
     14.5000      2.7610      6.2000      3.6240    842.4707    421.2354
     15.0000      2.7656      6.2200      3.6340    847.3857    423.6928
     15.5000      2.7707      6.2420      3.6460    853.3176    426.6588
     16.0000      2.7758      6.2640      3.6570    858.7879    429.3940
     16.5000      2.7810      6.2860      3.6690    864.7914    432.3957
     17.0000      2.7862      6.3080      3.6800    870.3276    435.1638
     17.5000      2.7914      6.3300      3.6920    876.4032    438.2016
     18.0000      2.7972      6.3540      3.7040    882.5168    441.2584
     18.5000      2.8029      6.3780      3.7170    889.1827    444.5914
     19.0000      2.8088      6.4020      3.7290    895.3758    447.6879
     19.5000      2.8147      6.4260      3.7420    902.1283    451.0642
     20.0000      2.8206      6.4500      3.7540    908.4016    454.2008
     20.5000      2.8270      6.4760      3.7680    915.7695    457.8848
     21.0000      2.8336      6.5020      3.7820    923.1904    461.5952
     21.5000      2.8401      6.5280      3.7950    930.1291    465.0645
     22.0000      2.8442      6.5440      3.8030    934.4219    467.2110
     22.5000      2.8508      6.5700      3.8170    941.9767    470.9884
     23.0000      2.8575      6.5960      3.8310    949.5855    474.7927
     23.5000      2.8643      6.6220      3.8440    956.6994    478.3497
     24.0000      2.8711      6.6480      3.8580    964.4131    482.2065
     24.5000      2.8779      6.6740      3.8720    972.1816    486.0908
     25.0000      2.8848      6.7000      3.8850    979.4445    489.7222
     25.5000      2.8923      6.7280      3.9000    987.8840    493.9420
     26.0000      2.8998      6.7560      3.9150    996.3874    498.1937
     26.5000      2.9075      6.7840      3.9290   1004.3818    502.1909
     27.0000      2.9151      6.8120      3.9440   1013.0095    506.5048
     27.5000      2.9228      6.8400      3.9590   1021.7021    510.8511
     28.0000      2.9306      6.8680      3.9740   1030.4598    515.2299
     28.5000      2.9384      6.8960      3.9880   1038.6928    519.3464
     29.0000      2.9463      6.9240      4.0030   1047.5774    523.7887
     29.5000      2.9543      6.9520      4.0180   1056.5281    528.2640
     30.0000      2.9623      6.9800      4.0320   1064.9421    532.4710
